country,num_of_infections,total_population
USA,7361611,331478677
India,6145291,1383308133
Brazil,4748327,212929158
Russia,1159573,145949954
Colombia,818203,51014752
Peru,808714,33082847
Spain,748266,46759262
Mexico,733717,129262198
Argentina,723132,45296882
South Africa,671669,59489841
France,542639,65309161
Chile,459671,19156249
Iran,449960,84253298
UK,439013,67973563
Bangladesh,360555,165088815
Iraq,353566,40437045
Saudi Arabia,333648,34944484
Turkey,315845,84559676
Pakistan,311516,221917981
Italy,311364,60439744
Philippines,307288,109933944
Germany,288618,83849953
Indonesia,278722,274226946
Israel,233265,9197590
Ukraine,204932,43668011
Canada,155301,37822889
Ecuador,134965,17707642
Bolivia,134223,11711521
Qatar,125311,2807805
Romania,123944,19205541
Morocco,119107,37016695
Belgium,115353,11602026
Netherlands,114540,17144230
Dominican Republic,111666,10874389
Panama,111277,4331125
Kazakhstan,107833,18831182
Kuwait,103981,4285809
Egypt,102955,102796445
Oman,98057,5137313
UAE,92095,9919379
Sweden,90923,10114699
Guatemala,90263,17994958
Poland,88636,37836322
China,85384,1439323776
Japan,82131,126380039
Belarus,77946,9448552
Honduras,75537,9942533
Nepal,74745,29262472
Portugal,74029,10189307
Ethiopia,73944,115637347
Costa Rica,73714,5105459
Venezuela,73528,28415883
Bahrain,69848,1715283
Czechia,65883,10713888
Nigeria,58460,207348392
Singapore,57715,5861586
Uzbekistan,56068,33586296
Switzerland,52646,8670104
Algeria,51213,44040893
Moldova,51194,4031631
Armenia,49574,2964611
Kyrgyzstan,46522,6550080
Ghana,46444,31227598
Austria,43432,9019005
Azerbaijan,40061,10161464
Paraguay,39432,7153776
Afghanistan,39233,39136711
Palestine,39121,5129558
Kenya,38168,54053073
Lebanon,37272,6817815
Ireland,35377,4951184
Serbia,33414,8728592
Libya,33213,6893886
El Salvador,28981,6494243
Denmark,27072,5797225
Australia,27055,25571694
Bosnia and Herzegovina,27001,3275710
Hungary,24716,9654248
S. Korea,23699,51280101
Cameroon,20838,26702167
Bulgaria,20271,6935323
Ivory Coast,19641,26532824
Greece,17707,10410337
North Macedonia,17674,2083353
Madagascar,16348,27859130
Croatia,16245,4098930
Tunisia,16114,11848697
Senegal,14919,16847991
Zambia,14660,18504973
Norway,13788,5431601
Sudan,13606,44092186
Albania,13391,2877017
Myanmar,11631,54499122
Namibia,11121,2551936
Malaysia,11034,32466421
DRC,10624,90198252
Guinea,10598,13216676
Montenegro,10441,628086
Maldives,10157,542829
French Guiana,9895,300509
Finland,9743,5542847
Tajikistan,9685,9588565
Slovakia,9343,5460297
Jordan,9226,10227794
Haiti,8740,11436228
Gabon,8728,2238189
Luxembourg,8376,628428
Mozambique,8288,31461258
Zimbabwe,7816,14915147
Uganda,7777,46078044
Mauritania,7474,4678486
Jamaica,6170,2964345
Cabo Verde,5817,557455
Malawi,5770,19246657
Georgia,5552,3987264
Cuba,5483,11324901
Eswatini,5452,1163086
Djibouti,5410,991468
Slovenia,5388,2079009
Hong Kong,5076,7511838
Nicaragua,5073,6643673
Equatorial Guinea,5028,1413711
Congo,5008,5550233
Suriname,4836,587914
Rwanda,4832,13028180
CAR,4806,4849926
Angola,4797,33105043
Lithuania,4490,2712663
Guadeloupe,4487,400141
Trinidad and Tobago,4386,1400605
Syria,4102,17601341
Réunion,3882,896875
Aruba,3872,106877
Bahamas,3838,394159
Somalia,3588,15997468
Gambia,3569,2432624
Thailand,3559,69843186
Mayotte,3541,274374
Sri Lanka,3363,21435333
Estonia,3267,1326756
Botswana,3172,2362964
Mali,3090,20387710
Malta,3006,441833
Guyana,2787,787485
South Sudan,2692,11225570
Iceland,2663,341786
Benin,2340,12198114
Guinea-Bissau,2324,1979031
Sierra Leone,2215,8015704
Yemen,2031,29982241
Burkina Faso,2028,21038162
Uruguay,2010,3476695
Andorra,1966,77296
Belize,1891,399358
New Zealand,1835,5002100
Togo,1749,8324754
Cyprus,1713,1209509
Latvia,1697,1880937
French Polynesia,1579,281306
Lesotho,1565,2146399
Liberia,1342,5085878
Martinique,1290,375193
Niger,1196,24409095
Chad,1185,16536496
Vietnam,1077,97552166
Sao Tome and Principe,911,220134
San Marino,727,33949
Diamond Princess,712,0
Turks and Caicos,682,38844
Channel Islands,664,174254
Sint Maarten,645,42994
Papua New Guinea,532,8987589
Taiwan,513,23827422
Tanzania,509,60133750
Burundi,502,11973721
Comoros,478,874014
Faeroe Islands,460,48909
Saint Martin,383,38824
Gibraltar,382,33689
Eritrea,375,3558284
Mauritius,367,1272289
Curaçao,364,164258
Isle of Man,340,85143
Mongolia,313,3290995
Bhutan,280,773672
Cambodia,277,16774889
Monaco,212,39310
Cayman Islands,211,65909
Barbados,190,287462
Bermuda,181,62221
Brunei ,146,438500
Seychelles,143,98496
Liechtenstein,117,38155
Antigua and Barbuda,101,98127
Caribbean Netherlands,88,26282
British Virgin Islands,71,30280
St. Vincent Grenadines,64,111027
St. Barth,48,9884
Macao,46,651475
Fiji,32,898034
Dominica,30,72030
New Caledonia,27,286167
Saint Lucia,27,183833
Timor-Leste,27,1324454
Grenada,24,112651
Laos,23,7301045
Saint Kitts and Nevis,19,53291
Saint Pierre Miquelon,16,5787
Greenland,14,56794
Montserrat,13,4993
Falkland Islands,13,3504
Vatican City,12,801
Western Sahara,10,600815
MS Zaandam,9,0
Anguilla,3,15036
